"","start.station.id","start.station.latitude","start.station.longitude","hire"
"1",363,40.70834698,-74.01713445,2315
"2",3182,40.686931,-74.016966,2
"3",2008,40.70569254,-74.01677685,3029
"4",3239,40.6465383670965,-74.0165877342224,33
"5",327,40.7153379,-74.01658354,4059
"6",3002,40.711512,-74.015756,4462
"7",3348,40.677236,-74.015665,344
"8",3644,40.6758162252283,-74.0148818492889,449
"9",3254,40.6923166071919,-74.0148657560349,6
"10",427,40.701907,-74.013942,1486
"11",304,40.70463334,-74.01361706,2882
"12",426,40.71754834,-74.01322069,5484
"13",309,40.7149787,-74.013012,2143
"14",3347,40.6773429,-74.01275056,478
"15",534,40.70255065,-74.0127234,1307
"16",259,40.70122128,-74.01234218,1667
"17",3337,40.673635513415,-74.0119555592537,144
"18",260,40.70365182,-74.01167797,1069
"19",3256,40.7277140777778,-74.011295735836,2886
"20",3461,40.7148515052625,-74.0112233161926,2076
"21",3344,40.679043,-74.011169,464
"22",3477,40.6553997744783,-74.0106278657913,134
"23",276,40.71748752,-74.0104554,1418
"24",195,40.70905623,-74.01043382,2532
"25",3664,40.7201952143746,-74.0103006362915,2392
"26",417,40.71291224,-74.01020234,3358
"27",3340,40.6753274,-74.0100698,154
"28",328,40.72405549,-74.00965965,2254
"29",3342,40.6777748,-74.0094613,159
"30",319,40.711066,-74.009447,2497
"31",415,40.7047177,-74.00926027,1485
"32",152,40.71473993,-74.00910627,268
"33",146,40.71625008,-74.0091059,1807
"34",249,40.71870987,-74.0090009,1169
"35",360,40.70717936,-74.00887308,1243
"36",3352,40.6726724341095,-74.0087952464819,233
"37",3478,40.6570886666848,-74.0087020397186,539
"38",3392,40.6812117,-74.00860912,251
"39",238,40.7361967,-74.00859207,548
"40",347,40.728846,-74.008591,3483
"41",337,40.7037992,-74.00838676,1158
"42",405,40.739323,-74.008119,3673
"43",3393,40.6794327,-74.00785041,245
"44",459,40.746745,-74.007756,4646
"45",248,40.72185379,-74.00771779,790
"46",3333,40.6747055,-74.0075572,39
"47",3472,40.742753828659,-74.0074735879898,2096
"48",264,40.70706456,-74.00731853,1385
"49",376,40.70862144,-74.00722156,1432
"50",358,40.73291553,-74.00711384,5219
"51",212,40.74334935,-74.00681753,2872
"52",127,40.73172428,-74.00674436,3762
"53",315,40.70355377,-74.00670227,3003
"54",79,40.71911552,-74.00666661,1811
"55",316,40.70955958,-74.00653609,1324
"56",3394,40.6769993,-74.00647134,65
"57",346,40.73652889,-74.00618026,3163
"58",351,40.70530954,-74.00612572,1485
"59",377,40.72243797,-74.00566443,2614
"60",330,40.71450451,-74.00562789,1694
"61",320,40.717571,-74.005549,1558
"62",306,40.70823502,-74.00530063,1366
"63",458,40.751396,-74.005226,3230
"64",3224,40.7399735410341,-74.0051387250423,4135
"65",3330,40.6725058,-74.00494695,114
"66",247,40.73535398,-74.00483091,1982
"67",387,40.71273266,-74.0046073,4729
"68",462,40.74691959,-74.00451887,4379
"69",3659,40.7429489166009,-74.0041369199753,2003
"70",3474,40.7252556952547,-74.0041208267212,2580
"71",3658,40.7435337324616,-74.0036755800247,1893
"72",3489,40.7106999463139,-74.003541469574,907
"73",3389,40.6830456,-74.00348559,613
"74",3669,40.6763035763418,-74.0031404793262,130
"75",128,40.72710258,-74.00297088,4138
"76",388,40.749717753,-74.002950346,2756
"77",380,40.73401143,-74.00293877,872
"78",514,40.76087502,-74.00277668,4742
"79",3441,40.752957,-74.00264,276
"80",284,40.7390169121,-74.0026376103,1641
"81",257,40.71939226,-74.00247214,1729
"82",3422,40.6859296,-74.00242364,698
"83",2010,40.72165481,-74.00234737,2484
"84",386,40.71494807,-74.00234482,1652
"85",3258,40.7501815632568,-74.0021842718124,3236
"86",368,40.73038599,-74.00214988,4902
"87",525,40.75594159,-74.0021163,2337
"88",509,40.7454973,-74.00197139,3754
"89",3326,40.67434,-74.00194698,141
"90",279,40.707873,-74.00167,2022
"91",3311,40.68763155,-74.0016256,686
"92",3660,40.7410215090027,-74.001384973526,5121
"93",383,40.735238,-74.000271,3915
"94",369,40.73224119,-74.00026394,2233
"95",82,40.71117416,-74.00016545,657
"96",3396,40.6783563,-74.00014502,652
"97",470,40.74345335,-74.00004031,2430
"98",398,40.69165183,-73.9999786,1320
"99",223,40.73781509,-73.99994661,47
"100",3388,40.6828003,-73.99990419,567
"101",355,40.71602118,-73.99974372,2214
"102",268,40.71910537,-73.99973337,2741
"103",303,40.72362738,-73.99949601,2672
"104",482,40.73935542,-73.99931783,4742
"105",3259,40.7493702419328,-73.9992338418961,2335
"106",3315,40.6847514,-73.99917254,1083
"107",453,40.74475148,-73.99915362,3870
"108",336,40.73047747,-73.99906065,2991
"109",3386,40.6809591,-73.99905709,575
"110",478,40.76030096,-73.99884222,2780
"111",3397,40.6763947,-73.99869893,572
"112",252,40.73226398,-73.99852205,2287
"113",308,40.71307916,-73.99851193,1459
"114",161,40.72917025,-73.99810231,3908
"115",254,40.73532427,-73.99800419,3676
"116",448,40.75660359,-73.9979009,2585
"117",3398,40.6746957,-73.99785768,802
"118",3321,40.6831164,-73.99785267,732
"119",334,40.74238787,-73.99726235,2651
"120",151,40.722103786686,-73.997249007225,4499
"121",494,40.74734825,-73.99723551,3438
"122",3180,40.69878,-73.99712,893
"123",296,40.71413089,-73.9970468,1886
"124",345,40.73649403,-73.99704374,309
"125",2009,40.71117444,-73.99682619,1232
"126",508,40.76341379,-73.99667444,2451
"127",3260,40.7270636334831,-73.9966213703155,3357
"128",3308,40.6861758,-73.99645295,829
"129",157,40.69089272,-73.99612349,1182
"130",3427,40.7243052725033,-73.9960098266602,3744
"131",3384,40.6787242,-73.99599099,756
"132",3435,40.718822,-73.99596,4253
"133",406,40.69512845,-73.99595065,1392
"134",216,40.70037867,-73.99548059,577
"135",446,40.74487634,-73.99529885,3971
"136",3408,40.6881529,-73.99520919,913
"137",3635,40.7546232402911,-73.9951676130295,2326
"138",280,40.73331967,-73.99510132,412
"139",3244,40.7314372408523,-73.9949034154415,3773
"140",251,40.72317958,-73.99480012,3044
"141",3382,40.680611,-73.99475825,1160
"142",3255,40.7505853470215,-73.9946848154068,6764
"143",3432,40.6690601350111,-73.9946365356445,58
"144",515,40.76009437,-73.99461843,2702
"145",168,40.73971301,-73.99456405,4559
"146",253,40.73543934,-73.99453948,142
"147",3303,40.6849894,-73.99440329,523
"148",412,40.7158155,-73.99422366,2613
"149",435,40.74173969,-73.99415556,7134
"150",335,40.72903917,-73.99404649,3107
"151",408,40.71076228,-73.99400398,1082
"152",490,40.751551,-73.993934,5817
"153",72,40.76727216,-73.99392888,2385
"154",442,40.746647,-73.993915,4148
"155",217,40.70277159,-73.99383605,1768
"156",3298,40.686371,-73.99383324,769
"157",3236,40.7589848139963,-73.9937996864319,2964
"158",229,40.72743423,-73.99379025,4946
"159",3381,40.6777287,-73.99364123,404
"160",391,40.69760127,-73.99344559,1899
"161",143,40.69239502,-73.99337909,1545
"162",3324,40.6685455,-73.99333264,379
"163",3401,40.6724811,-73.99331394,251
"164",3329,40.6829151,-73.99318208,625
"165",495,40.76269882,-73.99301222,2560
"166",295,40.71406667,-73.99293911,1696
"167",531,40.71893904,-73.99266288,3310
"168",496,40.73726186,-73.99238967,3998
"169",3402,40.6902375,-73.99203074,1617
"170",382,40.73492695,-73.99200509,5702
"171",331,40.71173107,-73.99193043,1117
"172",473,40.72110063,-73.9919254,1714
"173",361,40.71605866,-73.99190759,2723
"174",3242,40.6910292567797,-73.991833627224,1108
"175",379,40.749156,-73.9916,4777
"176",357,40.73261787,-73.99158043,1910
"177",265,40.72229346,-73.99147535,2918
"178",407,40.700469,-73.991454,819
"179",466,40.74395411,-73.99144871,3656
"180",523,40.75466591,-73.99138152,5614
"181",479,40.76019252,-73.9912551,3692
"182",322,40.696192,-73.991218,984
"183",293,40.7302066052995,-73.9910262823105,5230
"184",529,40.7575699,-73.99098507,3256
"185",492,40.75019995,-73.99093085,4939
"186",3332,40.681990442707,-73.9907902479172,462
"187",3263,40.7295149622495,-73.990752696991,4826
"188",285,40.73454567,-73.99074142,6087
"189",403,40.72502876,-73.99069656,2707
"190",3409,40.6867443,-73.99063168,2147
"191",480,40.76669671,-73.99061728,2524
"192",530,40.771522,-73.990541,3147
"193",314,40.69383,-73.990539,1331
"194",3322,40.668603,-73.9904394,272
"195",3377,40.6786115,-73.99037292,754
"196",232,40.69597683,-73.99014892,902
"197",497,40.73704984,-73.99009296,7753
"198",477,40.75640548,-73.9900262,6270
"199",401,40.72019576,-73.98997825,2939
"200",307,40.71427487,-73.98990025,3180
"201",3399,40.6726029815013,-73.9898300170898,346
"202",439,40.7262807,-73.98978041,3563
"203",321,40.69991755,-73.98971773,1633
"204",402,40.7403432,-73.98955109,7939
"205",3440,40.6924182925785,-73.989494740963,1919
"206",2000,40.70255088,-73.98940236,2068
"207",3641,40.7428687731211,-73.9891862869263,5231
"208",310,40.68926942,-73.98912867,1120
"209",312,40.722055,-73.989111,3100
"210",3421,40.6843549,-73.98901629,324
"211",3319,40.666287,-73.98895053,596
"212",483,40.73223272,-73.98889957,3701
"213",3173,40.777507027548,-73.9888858795166,1677
"214",3403,40.6705135,-73.98876585,584
"215",513,40.768254,-73.988639,1886
"216",2021,40.75929124,-73.98859651,3284
"217",486,40.7462009,-73.98855723,3736
"218",505,40.74901271,-73.98848395,4858
"219",498,40.74854862,-73.98808416,3988
"220",422,40.770513,-73.988038,1930
"221",311,40.7172274,-73.98802084,2017
"222",3463,40.7353670556054,-73.9879739284515,2733
"223",450,40.76227205,-73.98788205,3933
"224",340,40.71269042,-73.98776323,1266
"225",3373,40.6750705,-73.98775226,760
"226",414,40.70281858,-73.98765762,1056
"227",3407,40.6790979972168,-73.9876547455788,621
"228",267,40.75097711,-73.98765428,2564
"229",3410,40.6864442,-73.98759104,607
"230",3176,40.77452835,-73.98753759,1543
"231",362,40.75172632,-73.98753523,1670
"232",503,40.73827428,-73.98751968,1086
"233",533,40.75299641,-73.98721619,2272
"234",392,40.695065,-73.987167,1608
"235",236,40.7284186,-73.98713956,3287
"236",350,40.71559509,-73.9870295,1809
"237",3317,40.6686273,-73.98700053,353
"238",297,40.734232,-73.986923,3582
"239",423,40.76584941,-73.98690506,2261
"240",474,40.7451677,-73.98683077,3537
"241",3674,40.7014031725772,-73.9867267012596,2053
"242",237,40.73047309,-73.98672378,3427
"243",465,40.75513557,-73.98658032,4769
"244",323,40.69236178,-73.98631746,1863
"245",3411,40.6849668,-73.98620772,765
"246",491,40.74096374,-73.98602213,4105
"247",3656,40.7230774906867,-73.9858362078667,2313
"248",438,40.72779126,-73.98564945,3208
"249",3166,40.7805779901033,-73.9856243133545,1607
"250",3313,40.6663181,-73.9854617,425
"251",3404,40.6704922,-73.98541675,496
"252",410,40.72066442,-73.98517977,3033
"253",447,40.76370739,-73.9851615,3068
"254",3371,40.6746134224758,-73.9850114285946,343
"255",526,40.74765947,-73.98490707,3020
"256",291,40.713126,-73.984844,1157
"257",278,40.69766564,-73.98476437,503
"258",325,40.73624527,-73.98473765,2789
"259",3356,40.7746671,-73.98470567,1176
"260",173,40.7606832709659,-73.9845272898674,3992
"261",3486,40.6884174275408,-73.9845165610313,1200
"262",3420,40.6802133,-73.98432695,839
"263",390,40.69221589,-73.9842844,1144
"264",326,40.72953837,-73.98426726,3002
"265",537,40.74025878,-73.98409214,4540
"266",3310,40.663779,-73.98396846,697
"267",432,40.72621788,-73.98379855,5038
"268",3304,40.668127,-73.98377641,716
"269",301,40.72217444,-73.98368779,2507
"270",3178,40.78414472,-73.98362492,936
"271",261,40.69474881,-73.98362464,868
"272",3368,40.6728155,-73.98352355,920
"273",485,40.75038009,-73.98338988,2874
"274",500,40.76228826,-73.98336183,2329
"275",349,40.71850211,-73.98329859,1304
"276",524,40.75527307,-73.98316936,2800
"277",3232,40.6896218879033,-73.9830426871777,1170
"278",546,40.74444921,-73.98303529,2767
"279",3412,40.6853761,-73.98302136,611
"280",3175,40.77748046,-73.98288594,2026
"281",3335,40.6772744,-73.98282002,978
"282",469,40.76344058,-73.98268129,2381
"283",3159,40.77492513,-73.98266566,2836
"284",3158,40.77163851,-73.98261428,3134
"285",356,40.71622644,-73.98261206,1495
"286",3413,40.6827549,-73.98258555,575
"287",418,40.70224,-73.982578,776
"288",3466,40.7566872060318,-73.9825773239136,2413
"289",3245,40.7164442313448,-73.9823305606842,1
"290",540,40.7431155537649,-73.9821535348892,3167
"291",3405,40.6704836,-73.98208968,458
"292",461,40.73587678,-73.98205027,3225
"293",3306,40.6662078,-73.98199886,650
"294",472,40.7457121,-73.98194829,4099
"295",468,40.7652654,-73.98192338,3204
"296",499,40.76915505,-73.98191841,5919
"297",317,40.72453734,-73.98185424,2554
"298",400,40.71926081,-73.98178024,605
"299",457,40.76695317,-73.98169333,5040
"300",504,40.73221853,-73.98165557,4332
"301",3419,40.6792788,-73.98154004,702
"302",3364,40.6751622,-73.9814832,690
"303",445,40.72740794,-73.98142006,3695
"304",502,40.714215,-73.981346,2130
"305",239,40.69196566,-73.9813018,1874
"306",3169,40.78720869,-73.98128127,1086
"307",3643,40.7527220138119,-73.9812362194061,1014
"308",324,40.689888,-73.981013,1260
"309",3162,40.78339981,-73.98093133,1531
"310",3167,40.7796680900731,-73.9809304475784,3360
"311",150,40.7208736,-73.98085795,1829
"312",144,40.69839895,-73.98068914,456
"313",433,40.72955361,-73.98057249,3651
"314",2003,40.7338121919663,-73.9805442094803,2983
"315",3455,40.6868082050343,-73.9803618192673,605
"316",3680,40.7541208107793,-73.9802518486977,508
"317",342,40.71739973,-73.98016555,1470
"318",484,40.75500254,-73.98014437,2921
"319",393,40.72299208,-73.97995466,1451
"320",2001,40.699773,-73.979927,382
"321",3235,40.752165280622,-73.9799219369888,1782
"322",3297,40.6686627,-73.97988067,509
"323",3443,40.7613298312481,-73.9798200130463,4285
"324",507,40.73912601,-73.97973776,3592
"325",476,40.74394314,-73.97966069,2924
"326",332,40.71219906,-73.97948148,1240
"327",3423,40.6610633719006,-73.9794525504112,1841
"328",243,40.688226,-73.979382,715
"329",3164,40.7770575,-73.97898475,3970
"330",467,40.68312489,-73.97895137,1560
"331",3632,40.7280485713626,-73.9788115024567,2789
"332",3361,40.6740886,-73.9787282,800
"333",3360,40.7829391,-73.9786517,1881
"334",3417,40.6795766,-73.97854971,816
"335",3339,40.6765304,-73.97846879,539
"336",3365,40.6703837,-73.97839676,866
"337",3458,40.763093872708,-73.9783501625061,2928
"338",545,40.736502,-73.97809472,3618
"339",3233,40.7572456791173,-73.978059142828,3673
"340",119,40.69608941,-73.97803415,201
"341",302,40.72082834,-73.97793172,1553
"342",517,40.751581,-73.97791,3906
"343",3429,40.6850680730818,-73.9779075980186,2634
"344",3431,40.746524,-73.977885,2001
"345",3163,40.7734066,-73.97782542,3697
"346",519,40.751873,-73.977706,11383
"347",394,40.72521311,-73.97768752,2389
"348",3172,40.7785669,-73.97754961,1465
"349",174,40.7381765,-73.97738662,2727
"350",3161,40.7801839724239,-73.9772853255272,2161
"351",3434,40.7902541733042,-73.9771834015846,978
"352",3177,40.7867947,-73.977112,1441
"353",528,40.74290902,-73.97706058,2631
"354",245,40.69327018,-73.97703874,485
"355",3437,40.7931348098666,-73.9770036935806,788
"356",2012,40.739445,-73.976806,2234
"357",411,40.72228087,-73.97668709,1337
"358",274,40.68691865,-73.976682,1160
"359",3171,40.78524672,-73.97667321,1899
"360",520,40.75992262,-73.97648516,2743
"361",3300,40.6651468153379,-73.9763760566711,794
"362",2006,40.76590936,-73.97634151,5254
"363",83,40.68382604,-73.97632328,897
"364",341,40.71782143,-73.97628939,615
"365",3165,40.7757937668367,-73.9762057363987,3699
"366",527,40.744023,-73.976056,3773
"367",167,40.7489006,-73.97604882,2718
"368",266,40.72368361,-73.97574813,1067
"369",487,40.73314259,-73.97573881,3121
"370",3414,40.6809447234773,-73.9756733179092,848
"371",536,40.74144387,-73.97536082,3213
"372",3346,40.6751468387098,-73.9752320945263,1033
"373",3415,40.6793307,-73.97519523,590
"374",359,40.75510267,-73.97498696,5284
